,id,account,total_appraised_value_2019,pct_value_change,latitude,longitude,acreage,zip_code,neighborhood_code,sq_ft,neighborhood,new_owner_date,Offense_Count,school_id,school_type,school_rating,flood_risk,sales_neighborhood_2019
105,488,270520000008,152100.0,0.0,29.76922,-95.35257,0.1286,77002,7116.0,1598.0,HAILE/SWINEY,1998-08-26,4743,101912240,Elementary,75,1,0
106,489,270520000015,159132.0,5.919235351673001,29.76902,-95.35256,0.0809,77002,7116.0,1308.0,HAILE/SWINEY,2015-01-08,4743,101912240,Elementary,75,1,0
107,490,270520000016,125150.0,0.0,29.76926,-95.35242,0.1149,77002,7116.0,1836.0,HAILE/SWINEY,1988-01-02,4743,101912240,Elementary,75,1,0
108,488,270520000008,152100.0,0.0,29.76922,-95.35257,0.1286,77002,7116.0,1598.0,HAILE/SWINEY,1998-08-26,4743,101912061,Middle,85,1,0
109,489,270520000015,159132.0,5.919235351673001,29.76902,-95.35256,0.0809,77002,7116.0,1308.0,HAILE/SWINEY,2015-01-08,4743,101912061,Middle,85,1,0
110,490,270520000016,125150.0,0.0,29.76926,-95.35242,0.1149,77002,7116.0,1836.0,HAILE/SWINEY,1988-01-02,4743,101912061,Middle,85,1,0
111,398,250330000007,399388.0,0.0,29.73909,-95.38099,0.124,77002,8400.01,3096.0,MR-S OF PIERCE-N OF 59,1989-10-06,4743,101912058,Elementary,65,1,0
112,398,250330000007,399388.0,0.0,29.73909,-95.38099,0.124,77002,8400.01,3096.0,MR-S OF PIERCE-N OF 59,1989-10-06,4743,101912463,Middle,95,1,0
113,398,250330000007,399388.0,0.0,29.73909,-95.38099,0.124,77002,8400.01,3096.0,MR-S OF PIERCE-N OF 59,1989-10-06,4743,101912463,High,95,1,0
114,15285,1210050010002,379321.0,-12.808188634660562,29.750040000000002,-95.37775,0.040999999999999995,77002,8316.08,2208.0,MONTROSE FAIRGROUNDS 3RD-ROWTH,2009-12-03,4743,101912058,Elementary,65,1,48
115,15287,1210050010004,432288.0,0.11023315702203737,29.74987,-95.37763000000001,0.0434,77002,8316.08,2917.0,MONTROSE FAIRGROUNDS 3RD-ROWTH,2014-04-28,4743,101912058,Elementary,65,1,48
116,15288,1210050010005,368613.0,-0.6433962264150943,29.749940000000002,-95.37758000000001,0.0379,77002,8316.08,2208.0,MONTROSE FAIRGROUNDS 3RD-ROWTH,2014-09-18,4743,101912058,Elementary,65,1,48
117,15029,1203560000001,374651.0,-6.33725,29.751620000000003,-95.37979,0.0354,77006,8316.08,2337.0,MONTROSE FAIRGROUNDS 3RD-ROWTH,2001-10-29,3669,101912058,Elementary,65,1,48
118,15030,1203560000002,376824.0,-0.8357894736842105,29.751620000000003,-95.37979,0.036000000000000004,77006,8316.08,2337.0,MONTROSE FAIRGROUNDS 3RD-ROWTH,2010-03-04,3669,101912058,Elementary,65,1,48
119,15031,1203560000003,407869.0,-5.235558302335253,29.751690000000004,-95.37996,0.0354,77006,8316.08,2337.0,MONTROSE FAIRGROUNDS 3RD-ROWTH,2014-07-07,3669,101912058,Elementary,65,1,48
120,15032,1203560000004,409178.0,-5.2758537669456995,29.751620000000003,-95.37996,0.0354,77006,8316.08,2337.0,MONTROSE FAIRGROUNDS 3RD-ROWTH,2011-07-22,3669,101912058,Elementary,65,1,48
121,15033,1203560000005,405752.0,-4.08525083090248,29.751540000000002,-95.37996,0.0372,77006,8316.08,2337.0,MONTROSE FAIRGROUNDS 3RD-ROWTH,2012-08-02,3669,101912058,Elementary,65,1,48
122,15034,1204190010012,314387.0,-3.253035776931173,29.75184,-95.38171,0.0339,77006,8316.08,1908.0,MONTROSE FAIRGROUNDS 3RD-ROWTH,2008-06-27,3669,101912058,Elementary,65,1,48
123,15035,1204190010013,307304.0,-5.558253173115339,29.751929999999998,-95.38171,0.0419,77006,8316.08,2073.0,MONTROSE FAIRGROUNDS 3RD-ROWTH,2002-02-15,3669,101912058,Elementary,65,1,48
124,15036,1204190010014,356381.0,-2.1640897810379287,29.751929999999998,-95.38156,0.0419,77006,8316.08,2047.0,MONTROSE FAIRGROUNDS 3RD-ROWTH,2011-05-02,3669,101912058,Elementary,65,1,48
125,15037,1204190010015,276874.0,9.999841083177065,29.75184,-95.38156,0.0339,77006,8316.08,1908.0,MONTROSE FAIRGROUNDS 3RD-ROWTH,2005-05-26,3669,101912058,Elementary,65,1,48
126,15038,1204190010016,333836.0,-1.5122639115889096,29.75175,-95.38155,0.0361,77006,8316.08,2414.0,MONTROSE FAIRGROUNDS 3RD-ROWTH,2000-05-25,3669,101912058,Elementary,65,1,48
127,15093,1205320000001,407869.0,-5.235558302335253,29.751790000000003,-95.37979,0.0354,77006,8316.08,2337.0,MONTROSE FAIRGROUNDS 3RD-ROWTH,2014-12-30,3669,101912058,Elementary,65,1,48
128,15094,1205320000002,407869.0,-5.235558302335253,29.75187,-95.37979,0.0354,77006,8316.08,2337.0,MONTROSE FAIRGROUNDS 3RD-ROWTH,2013-10-28,3669,101912058,Elementary,65,1,48
129,15095,1205320000003,416176.0,9.999947137774818,29.75195,-95.37977,0.044000000000000004,77006,8316.08,2337.0,MONTROSE FAIRGROUNDS 3RD-ROWTH,2015-05-19,3669,101912058,Elementary,65,1,48
130,15096,1205320000004,399014.0,-3.8520481927710843,29.75195,-95.37994,0.0436,77006,8316.08,2337.0,MONTROSE FAIRGROUNDS 3RD-ROWTH,2017-10-23,3669,101912058,Elementary,65,1,48
131,15097,1205320000005,374651.0,-2.407441656920027,29.751859999999997,-95.37996,0.0354,77006,8316.08,2337.0,MONTROSE FAIRGROUNDS 3RD-ROWTH,2010-06-01,3669,101912058,Elementary,65,1,48
132,15098,1205320000006,407869.0,-5.235558302335253,29.751790000000003,-95.37996,0.0354,77006,8316.08,2337.0,MONTROSE FAIRGROUNDS 3RD-ROWTH,2001-02-02,3669,101912058,Elementary,65,1,48
133,15314,1210710010001,340000.0,-1.1627906976744187,29.750840000000004,-95.38469,0.0449,77006,8316.08,1985.0,MONTROSE FAIRGROUNDS 3RD-ROWTH,2015-10-16,3669,101912058,Elementary,65,1,48
